,abv,abvMax,abvMin,categoryId,description,fgMax,fgMin,ibu,ibuMax,ibuMin,id,isOrganic,name,ogMin,srmMax,srmMin,styleId,style_name,type_description,ratings
0,5.5,6,5,8.0,,1.018,1.012,,40,25,98,N,'Murican Pilsner,1.045,6,3,98.0,American-Style Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",
1,4.5,,,3.0,"The Plato scale is a measurement of the density of liquid. The number tells brewers how big or small a resulting beer will be—the larger the number the bigger the beer. We designed 11.5° Plato—a lower number on the beer scale—to give us just enough body to support a heavy heap of hops. The result is an easy-drinking session IPA which satisfies the thirst for hops, but urges you to have another round.",,,35,,,164,N,11.5° PLATO,,,,164.0,Session India Pale Ale,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",
2,5.5,5.6,4.5,3.0,"Tropically Hoppy. Light, yet Full-Bodied. Bright and Citrusy. Word.
The magical, mystical 12th of Never is a blend of Old and New School hops that play bright citrus, rich coconut, and papaya-esque flavors, all on a solid stage of English puffed wheat. Tropically hoppy. Light, yet full-bodied. Bright and citrusy. The 12th of Never Ale is everything we’ve learned about making hop-forward beer expressed in a moderate voice.  Pale, cold, slightly alcoholic and bitter.  It’s all we know.

These 12oz mini-kegs (AKA cans) are an exciting new option for us, and we are stoopid stoked at the opportunity for y'all to take us to all those new, nelophobic locations…",1.014,1.008,45,42,30,25,N,12th Of Never,1.044,14,6,25.0,American-Style Pale Ale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",3.97
3,,5.8,4.8,1.0,"For the ﬁrst ever SweetWater anniversary beer (yeah it took us 15 years), we went back to our roots, dusted off our original ESB recipe, and gave it a big ol’ bump. The recipe consists of 7 malts, one of which Kevin toasted personally in his toaster oven, just like the old days, and 5 different styles of hops. In true SweetWater style, there is no style, but it’s big, bold, and meant to grow old, meaning this beer will be fantastic out of the gate, or you can lay her down in the cellar for many years to come.",1.016,1.01,,45,30,5,N,15th Anniversary Ale,1.046,14,8,5.0,Extra Special Bitter,"Extra special bitter possesses medium to strong hop aroma, flavor, and bitterness. The residual malt and defining sweetness of this richly flavored, full-bodied bitter is more pronounced than in other styles of bitter. It is light amber to copper colored with medium to medium-high bitterness. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. English or American hops may be used. (English and American hop character may be specified in subcategories.)",4.06
4,11,12,8.4,3.0,"For our super heady 16 year anniversary beer we stepped on the gas and headed down the road less traveled! Our b-day present to ourselves was a racy Red Wheat Wine. The brew rips down the road at 11% ABV fueld by a 45% wheat bomb with an after burner hop shot of Amarillo, Willamette, Nelson Sauvignon, and US Goldings that pushes this baby to the limit of sensory overload. Get in. Sit down. Hold on. Shut up.",1.032,1.024,,85,45,35,N,16 So Fine Red Wheat Wine,1.088,15,8,35.0,American-Style Wheat Wine Ale,"American style wheat wines range from gold to deep amber and are brewed with 50% or more wheat malt. They have full body and high residual malty sweetness. Perception of bitterness is moderate to medium -high. Fruity-ester characters are often high and counterbalanced by complexity of alcohols and high alcohol content. Hop aroma and flavor are at low to medium levels. Very low levels of diacetyl may be acceptable. Bready, wheat, honey-like and/or caramel aroma and flavor are often part of the character. Phenolic yeast character, sulfur, and/or sweet corn-like dimethylsulfide (DMS) should not be present. Oxidized, stale and aged characters are not typical of this style. Chill haze is allowable.",
5,4.5,8.8,5.7,3.0,,1.022,1.01,,60,35,42,N,1794 The Fergal Project,1.05,40,40,42.0,American-Style Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",3.9
6,9,8.5,4.5,5.0,"This year’s anni ale has everything in it but the pitch fork and a bale of hay. With over two months of fermentation and cellaring time, this saison plows the field as it harvests spicy farmhouse overtones from its primary Fraunch saison yeast. That funky monkey delivers a strapping alc 9 % by vol, seeding a perfect foundation for secondary Brettanomyces fermentation, which hoes a cornucopia of tart and effervescent flavors. Distinct citrus notes from the finishing hops cultivate a naturally freaky fresh palate tweaker. Here’s to the next 17 trips around that burning ball in the sky!",1.016,1.004,,40,20,72,N,17th Saison,1.055,14,4,72.0,French & Belgian-Style Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",3.76
7,10,10,7,5.0,This brilliant Belgian Tripel showcases the best of our brewers as we bring to life 18 years of passion for beer and strive to crate the most interesting beers possible. This tripel leads with complex citrus aromas that are complimented by a strong undertow of spicy hop character. Ardennes yeast brings forward fruity esters as the Belgian candy sugar added in fermentation softens the body while leading to a vigorous ABV in the finished beer.,1.018,1.01,17,45,20,59,N,18th Anniversary Belgian Tripel,1.07,9,4,59.0,Belgian-Style Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",3.94
8,7,,,11.0,"This Golden Belgian Style Ale matured for over a year on brett in Cabernet and Merlot barrels, then was blended with a bright, citrusy hop-forward Belgian style IPA. Four plus two equals seven here, as the finished product is bigger than the sum of its parts. The art of this crafted cuvee is in the hop profile with a Belgian style nose up front, followed by woody undertones and a complex finish. After 19 years we’re still all about brewing great beer, supporting the communities who drink it and having a kick ass time along the way.",,,,,,135,N,19 - Golden Belgian Style Ale,,,,135.0,Wood- and Barrel-Aged Strong Beer,"Any strong classic style or unique, experimental style of beer can be wood or barrel-aged for a period of time in a wooden barrel or in contact with wood. This beer is aged with the intention of imparting the particularly unique character of the wood and/or what has previously been in the barrel. New wood character can be characterized as a complex blend of vanillin and unique wood character but wood aged is not necessarily synonymous with imparting wood-flavors. Used sherry, rum, bourbon, scotch, port, wine and other barrels are often used, imparting complexity and uniqueness to beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of new beer with wood and/or barrel flavors. Primary character of the beer style may or may not be apparent. Sour wood-aged beer of any color is outlined in other categories. Beers in this style may or may not have Brettanomyces character. The brewer must explain the special nature of the beer to allow for accurate judging. Comments could include: type of wood used (new or old, oak or other wood type), type of barrel used (new, port/ whiskey/ wine/ sherry/ other), base beer style or achieved character. Beer entries not accompanied by this information will be at a disadvantage during judging.",3.93
9,5,5,3.8,8.0,1904 American Red Lager is a special beer that goes by many names depending on which restaurant you visit!,1.01,1.006,,13,5,93,N,1904 American Red Lager,1.04,4,2,93.0,American-Style Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",2.94
10,8.7,,,5.0,"40% Belgian-style Quad Ale aged in brandy barrels with dates and currants added, 60% Belgian-style Dubbel Ale.",,,,,,70,N,2 x 4,,,,70.0,Other Belgian-Style Ales,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",
11,6,9.3,5.7,2.0,Toffee caramel with subtle chocolate notes. Complex and very smooth with a balance of roasted malt and sweet chocolate.,1.02,1.008,,60,30,24,N,200th Anniversary Export Stout,1.052,40,40,24.0,Foreign (Export)-Style Stout,"As with classic dry stouts, foreign-style stouts have an initial malt sweetness and caramel flavor with a distinctive dry-roasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Bitterness may be high but the perception is often compromised by malt sweetness. Hop aroma and flavor should not be perceived. The perception of fruity esters is low. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",4.02
12,6.5,7.5,6.3,3.0,"At Beer Camp, no beer style is off limits, so we jumped at the idea of doing a Golden IPA using wheat malt for a light, dry body and bold American and experimental hops for intense citrus flavor. The perfect spring seasonal, we invite you to enjoy this year’s Beer Camp encore.",1.018,1.012,50,70,50,30,N,2017 Beer Camp,1.06,14,6,30.0,American-Style India Pale Ale,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",3.88
13,9,10.5,7.5,3.0,"Extremely hop forward with a residual sweetness; golden in color with a haze.The Brettanomyces used is a SweetWater house blend.  As fermentation finishes, the Brett will start to produce its associated acids and phenols, lending a slightly tart finish. The aroma is fruity, herbal, tropical and citrusy, and the Brett gives a nice touch of funk and earthy phenolics.",1.02,1.012,81,100,65,31,N,20th Anniversary Imperial Hash IPA on Brett,1.075,13,5,31.0,Imperial or Double India Pale Ale,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",
14,7.3,,,,,,,,,,uIgENV,N,20th Street Ale Citra,,,,,,,3.95
15,7.3,,,,,,,,,,WcP2Ww,N,20th Street Ale Crystal,,,,,,,
16,7.3,,,,,,,,,,HyxQE4,N,20th Street Ale Magnum,,,,,,,
